Ideas,Theme a,Theme-b,Theme-c,Unnamed: 4,Unnamed: 5,Question,Answer
"16) games – Be a good lil sociopath path and self-monitor as they say “fake it b4 u make it"" - so much is a game, but it’s usually played with people we are not so close to, so maybe we can transcend games but the give and take of life seems so entrenched... to see how you can improve your self-monitoring consult Snyder’s guide to self-monitoring (SELF-MONITORING SCALE by Mark Snyder (1974)) Self – Monitor http://en.wikipedia.org/wiki/Self-monitoring Snyder’s scale - http://faculty.washington.edu/janegf/selfmonitoring.htm Sociopath – be a good sociopath",rough,spicy,emotion,rational,inspiring,,
17)games - hold back - don’t show your cards - don’t invest all you can - always hold back a little - in a way this may really help you preserve some mental health and buoyancy,rational,spicy,rough,emotion,,,
"18) don’t step on any buddy’s toes - contrasting with Nietzsche's will to power - this idea says you can get yours with your strong will but don’t fuck over others in the process, especially those close to you. Hard to always follow.",fun,inspiring,rational,,,,
19) take chances -> shit where you eat - the babes we like are often those that hang with our friends. The people we do business with are often are friends. Relats n biz get ugly often but sometimes you can’t avoid shitting where you eat.,fun,inspiring,rational,,,,
20) Nietzsche - will to power - exert it - dominate - within bounds - i.e. git it! But don’t step on toes but do be a force a leader - maybe even just don’t look back at the path of destruction caused in creating something that will put u in a much better place in some or many ways,fun,inspiring,rational,,,,
21) talk to yourself - rap to yourself - sing to yourself - write to yourself - think to yourself - make your mind as healthy and flexible as possible - this weird interior dialogue may help,fun,inspiring,rational,,,,
22) everyone has a void - i.e. - a hole - satisfaction is hard to come by don’t feel bad that you feel bad,fun,inspiring,rational,,,,
23) down with meditation - any form - almost every form is helpful - 5 - talks about forms made up - but goals and processes of different meditation are helpful in their own ways,fun,inspiring,rational,,,,
24) gotta git up to git down - concentration can help awareness - shit can be the recipe for success,fun,inspiring,rational,,,,
25) animal/ vegetable astrology - essences abound in both - learn from the physical characteristics of nature,fun,inspiring,rational,,,,
26) psycho vs. socio path - ones more productive - both are cray,fun,inspiring,rational,,,,
27) paradox with in - complexity with in is tantamount to paradoxical traits and incongruent behavior is the norm,fun,inspiring,rational,,,,
28) heaven -> no need to speculate - jah is I... Live it love it ... Worry after,fun,inspiring,rational,,,,
"29) time - don’t be afraid - watch it pass - measure it with stopwatches, clocks, calendars, timers - be intimate with time",fun,inspiring,rational,,,,
"30) feminism - gitty up! Update 2-19-19 Feminism is important to me because I see half the population of the world suffering from a patriarchical prejudice that is stunting the growth of civilization. If that’s not enough to be a feminist, I don’t know what is. Prejudice is inherently dumb. Patriarchy is a biased archaic system. Any ways I say gitty up because its little traveled territory for men to have a legit opinion on feminist issues, but if you see something say something, right? Taking the concept of full expression as an example of maximized beauty, we see its extreme importance in all of our lives. Older but mildly edited writing It’s about comfort to express fully - inequality runs deep - share your beautiful life grrrl! Be all you and that’s all you need to be satisfied… But for real tho sex positive feminism…. can’t say enough about it. You see in sexuality there’s a power of agenda (i.e. who sets the agenda is the powerful one). In that sense, feminist sexuality exists wherever women are controlling or have an equal role in the sexual agenda. I would also argue that feminist sexuality exists wherever women are satisfied with the sexual agenda or satisfied with their decision to engage in a sexual act even if they are totally lacking any control of the agenda. Update 2-19-19 – Is there a backlash against sex positivity in 2019? Could it be just a general distaste in men? Or could it be the influence of fascism in the world? Are we subtly acting more fascist towards how we approach sex?",fun,inspiring,rational,,,,
31) Neech - Jews n Women -> why be such a dumbass Neech? Jews = king of the slaves Women = less than that even in Neech's mind Come on bro. Misogyny n anti-Semitism is so 1880's. Jews as Christians as lame moralists I’m down with tho. Women thing a lot harder to rally behind.,fun,inspiring,rational,,,,
"32) Buddha - Good on mental quals - One thing that I will always credit the Buddha with was his capacity to describe mental qualities. Jesus never really got too into the mental real, but the Buddha was all over it. Pliancy and all this listed below: tranquility of body, kaya-passaddhi tranquility of mind, citta-passaddhi lightness of cetasikas, kaya-lahuta Iightness of citta, citta-lahuta pliancy of cetasikas, kaya-muduta pliancy of citta, citta-muduta wieldiness of cetasikas, kaya-kammannata wieldiness of citta, citta-kammannata proficiency of cetasikas, kaya-pagunnata proficiency of citta, citta-pagunnata uprightness of cetasika kaya-ujukata uprightness of citta, citta-ujukata",fun,inspiring,rational,,,,
"33) Dreams - Live in a dream state - turn it on / off - Sometimes, when things suck its nice to just dream about nicer alternatives. Update -2-19-19 – Ive been sleeping in more. Recording more dreams. Adding more consciousness to my subconscious. No lucid dreaming recently, but lots of good vibes. Good vibes in general can be cultivated, just like consciousness of our dreams. Don’t believe? Im a fucking stoner. Half of believe, that that makes it harder to remember dreams. You can will yourself to remember dreams. You can will yourself to positivity, contentment, a dream-like existence, etc.",fun,inspiring,rational,,,,
"34) Vocals - Feeling in Frailty- I love to sing with a frail sounding voice - shrill if you will. It adds to the emotional value of the song, also giving it a sense of the place where the emotions come from. Update -2-19-19 – Sense place – ie – more details on the singer’s unique tones + more context to the lyrics in the song",fun,inspiring,rational,,,,
"35) Dating - The Best: So BIOLOGICAL - • The worst: so distracting from the Higher Self Update -2-19-19 – Biological as in even more than productive psychological even more than symbiotic psychologically. Past psychological what is there? Biological symbiosis. Eating better together. Being more productive together, not because of something the other person says just like on level of existence that isn’t just some sort of everyday assistance. Sort of like the indescribability of love. Helping someone else in its purer forms is indescribably beneficial and beautiful. ",fun,inspiring,rational,,,,
"36) Higher - More Productive Healthier Self - The process of creating a symbiosis between productivity and health. There are times when we are living in a very productive want and also maintain great physical and mental health. Many associate this with a stable living situation, but what the idea that variety is the spice of life?",fun,inspiring,rational,,,,
"37) Conscious Orientation => LUSH (i.e. Love Understanding Satisfaction Health) - We can ask ourselves how can I be healthier in this moment? How can I understand the situation better? How can I be more satisfied right now? More satisfied with things this month? This year? In the next 3 years? How can I love myself, others, the Universe? It’s kinda some hippy shit I know, but let’s be realistic about things. Who doesn’t want a little more love in their life?",fun,inspiring,rational,,,,
38) discipline => me =>test,fun,inspiring,rational,,,,
39) abstain renunciate =>^ -interrelated concepts as abstinence requires discipline and to renunciate something is to demonstrate discipline,fun,inspiring,rational,,,,
"40) astrology - reverse it/ surrender - astrology doesn’t bind us to certain actions. In reality we can comfortably reverse our astrological preferences for large periods of time, but it’s also nice to surrender to our astrological charts to fully embrace any insights it may bring.",fun,inspiring,rational,,,,
"41) concentration => Fux wit it -- we can measure the quality of our concentration, try to improve it with exercises, and generally experiment to understand its nuances.",fun,inspiring,rational,,,,
"42) Speak: 1) intelligently 2) colloquially - these two ways of speaking will probably help you more than say speaking eloquently. Speaking colloquially will help you in the work place too as it is the speech of bullies and thieves i.e. your bosses. (this marks a new sheet of ideas that I worked usually called ""The First 42"")",fun,inspiring,rational,,,,
"43) Lack of Logic in Desire – Passions so inherently divergent from rational thought. The mind copes as desire explodes. Picking up the pieces in haunting dreams. (this marks a new sheet of ideas that I worked called ""42 points of Ideals and Terrors"")",rational,intuitive,fun,,,,
44 ) Lines- Ink Blot – Image – Feeling – Memory -> Simple Lines like an ink blot create images – feelings – memories – so much stronger and more complex than the simple blots and lines. This phenomena highlights the capacity of the brain to invent its own stories from the tiniest amounts of information. Just imagine the stories that get invented from the stories people tell us or the charged bits of information we are given.,fun,inspiring,rational,,,,
"45) Description of Grips, Bands, Roommates – I love all the unique features of the people that come into my life. Sort of like the spoon river anthology, I’d like to keep an up to date description of the people I work with, live with, and hang with at shows / parties.",fun,inspiring,rational,,,,
"46) Satori – Barthes – Surprise -> Zen but what’s da real Zen? – Roland Barthes – in the “The Wisdom of Art” describes Cy Twombly’s art as invoking the Zen term Satori which translates as “surprise” – I don't know maybe all art theory seems a little inauthentic and reaching, but I kind of hated this essay and its description of satori. Wikipedia describes Satori like this: “Satori - is a Japanese Buddhist term for awakening, ""comprehension; understanding"". It is derived from the Japanese verb satoru. In the Zen Buddhist tradition, satori refers to the experience of kenshō, ""seeing into one's true nature"".” As seen by the god known as Wikipedia, Barthes may not be talking out of his ass but he is at least stretching this word out past its meaning to make some other meaning in writing that also just lacks feeling and authenticity.",fun,inspiring,rational,,,,
"47) Never Impressed -> Death – Cept You: Especially in my daily life, I am never impressed. Maybe I am kinda impressed by people that are able to get slightly better than mediocre jobs and the kindness of others, but that feeling of “WOW!” never comes. :/ Except by all of you of course… ;) and especially not impressed when comparing the powerful impression that DEATH creates compared to the little blips on a giant screen that are the most impressive lives in human history. It’s like – “Hey what makes a more powerful impact on you, the terror of death or Albert Einstein’s theory of relativity?” Really there is no competition and no greater power over us than the fear of death / desire to survive. ",fun,inspiring,rational,,,,
48) Never Surprised – Life is what it is. The dearth of morals I exhibit really isn’t that surprising nor is anything else. ,fun,inspiring,rational,,,,
"49) Satisfied – Frank Sinatra like Erin Prom Virginity off to College Ideals of Love<-- Romance & ageless Like Gramma Basement Dance Parties This Point is like 19 points – but it all surrounds Frank Sinatra Love and Satisfaction. First, there’s the ideals behind the music of Frank Sinatra which highlight a satisfaction with monogamous romantic love in all its ageless glory. I then give two anecdotes. The first is about my first real monogamous love Erin who I went to prom with, lost my virginity to, and continued to date my freshman year into my sophomore year. There was an agelessness to our senior prom that inspires me to love that moment in time to this day. The prom photos help. Also that time connects to the story my grandma told me about her friends dancing in their basement to these songs from the who knows when, but obviously from the 20’s to mid-40s would be my guess. All of this points to the ideals of love which state: a) Love involves the romantic events that truly fulfill us. b) The emotion of romantic love provides true satisfaction. c) Loving relationships are the poetry of human interactions. Affection as a deeper human beauty. ",fun,inspiring,rational,,,,
"50) The Inaccessibility of the Real  à Baudrillard à Does it matter if its so far? Baudrillard  in “simulacra…” states that the real is so far away from us in this present age and that every thing is more like simulacra of simulations of the real. My point is this: “Who Cares?” We can rage against the falsity of our age or we can just accept it and not think about it, but also, with so few caring about this issue one has to wonder should the few of us that do care even bother wasting our time. Well…I’ll just say after reading that whole book and really enjoying the part about the falsity of Disney World that Baudrillard is the man and it is important to cut out the bullshit, which is all the fakeness that exists in corporate America and our shitty political system.",fun,inspiring,rational,,,,
"51) IE – All ABRSTRACTION – YES, Most don’t care and that’s important -> then What? -> Does it matter?Anything abstract is so forgotten. Forget blue vs white collar or Smart vs Dumb. The world of abstraction is the world of the .001%. So while it is the life blood of that .001%, its also not necessary to many others existing on a more intuitive level. Also people try to get shit right in their abstract minds while others just see their lives in this world more clearly and settle in to that life and the bullshit that plauges it as a tick settles into something that would likely like to kill it. Kinda like us and nature.",intuitive,fun,inspiring,,,,
"52) Death -> Does it matter?-> its certainty - mainly boresJust as the love of a steady lover, is accepted and forgotten, so too, is the horrifying terror of death. So then do we make decisions based upon death or love? Or do we make decisions based on more immediate concerns like “will it suck for me tomorrow if I do this?”",fun,inspiring,rational,,,,
"53) Sibylle B Best because more melodically original more genuine than Bobby D Obviously she wasn’t as prolific. Nor did she have the intellectual depth or descriptive beauty, but her melodies are haunting as is her vibe in general. Never releasing music on her own that was so amazing. There’s a realness to that. It’s like “These songs are mine and help me. I am content with that. Sorry world. No hard feelings. Much Love, Sibylle Baier.”",fun,inspiring,rational,,,,
"54) Inability to step Back -> Why? 1) Delusion -> No/too much feelings 2) Subj - NYC clouds the mind. Imprisons you in never ending concrete with a couple flimsy tree scattered about. Imprisons you with high rents. Imprisons you with culture that distracts you from your own cultural self. Imprisons you with cultivated personalities challenging and distracting you from your own archetypes to be developed and cared for. All of this makes stepping back and smelling the roses sunk in your skin so dificil. Hurrying about never able to ask “why don’t I feel worse about being so self-obsessed?” “Why don’t I feel better about being a genuinely open and available person?” Lastly, these questions are needed but how can you be sure about the answers when everything is so damn subjective???? I have no answers.",fun,inspiring,rational,,,,
"55) What is the whole picture? -> Subj can’t agree on what it is Subjectivity revisited. So considering it’s so hard to step back. Take that applied to the idea of the whole picture. The big picture. So close staring at a part of the picture. Stepping back. What does that mean? The whole picture, what is that? What is it composed of? Love, Understanding, Satisfaction, Health, maybe?",fun,inspiring,rational,,,,
"56) Nature – Slut, Whore, Maniac - Sluts love nature. Whores make love in nature. Maniacs rub their vaginas all over the soil and stick their pee pees in beehives. At some point you get too close to nature.",fun,inspiring,rational,,,,
57) Minimize the things I hate the new plan - Pain is pleasure for masochists only. Pure pain should prolly be avoided if it’s not a whip or paddle. Avoid the terror of terrible people.,fun,inspiring,rational,,,,
"58) Meditation – Awareness of touch – do it all the time - Buddhism…meh. Meditation…YEH! Sorry to hate on the Buddhism but meditation needs to be separated from any religion and re-appropriated into the realm of conscious activity where it can be described as a minimal mental effort to recognize mental activity. One form of mental activity is knowing when we are touching something. For example, yo butt on a seat. As long as the mind is split between the bull shit mental droll and this efforting to be simultaneously aware of another mental activity, some form of freedom from that locked in feeling of day to day existence can be had. Escape the tunnel vision.",fun,inspiring,rational,,,,
"59) Dbags fucking w/ you -> They like puppies -> You an old dog - The power of pettiness aside (of that other set of 42 points), recognition of dbag tendencies should be the first bit of wisdom used to help overcome that petty bullshit created by dbags. For real tho, dbags can get to you. One has to be prepared for bullshit because it can be a bit tricky even in its most obviously recognizable forms. Why? Usually it’s created by those closest to us. I feel like something deeper can be said here, but maybe that’s for like collaboration with some other person. ",fun,inspiring,rational,,,,
"60) Meditation -> Softens the Horror“The horror”… in a cute way tho. Like as humans we get old suffer die all the time, right? What horror! Betrayal and such, etc, but meditation tho…really softens it. For example, here’s an example of my inner dialogue:“I want to be successful! Gawd Im lame. Im gonna die. Im gonna go bald. Im gonna break bones and be feable. Shit this inner dialogue suxxx. Why don’t I just count some breaths. Breath in….Breath out….one… Breath in….Breath out….two…. Breath in….Breath out….three.” --> Horror softened.",fun,inspiring,rational,,,,
"61) Booze -> spices up the horror In the sense that ya know like even tho you can die at any moment life still can be boring. So why not booze it up to see what happens. Booze is that spice. As its affects are varied. Drink too little maybe it will just make you tired. Brink just enough to get a nice buzz you will feel great! Drink to the brink of blacking out, maybe you’ll be super sad or maybe you will be outrageously euphoric. Variety ya know it’s the…",fun,inspiring,rational,,,,
"62) Weed -> Coma and Fog 4 the horror Yeah I mean weed comas are a think and when you smoke errday a fog like coma can ensue, but much productivity can come from it sooo ya never know really. Also, weed can just make you chill and really not that foggy if you can keep it really moderate, so maybe I’m being a bit too harsh on the 420.",fun,inspiring,rational,,,,
"63) LSD -> in the chilliest situation it could lead to serious insight…bra. For real tho, don’t let me get into my zone on LSD it could just be too much deep sacred activity.",fun,inspiring,rational,,,,
64) Endlessly Release Repeat (ERR w/ the Maximization of Beauty) - I can’t even say yo…but if I was to say…I’d release your beauty like a butterfly fluttering fragile its death so certain. Then repeat that same beauty repeating endlessly like those flapping wings. That’s to say that there are moments in time that just do that in our hearts anyways. There are people that just do that in our hearts every time we see them. Let the weight of that beauty crush you…again and again.,fun,inspiring,rational,,,,
"65) Fucking High School Errwhere - For real tho…that high school mentality it’s everywhere…you can’t escape it! This point may seem kinda basic at first, but think about it…Obama acting like a lil high school brat… the Dalai Llama acting like a freshmen. Get it? That shit is pervasive. The human condition is rattled with pettiness.",fun,inspiring,rational,,,,
66) 5/2_/15 – Another time - That is to say: “I’m not writing this shit like every day. It takes a lot of motivation to keep it up. Sometimes I put it down for a long time. Do people care about their own ideas?” I’d love to read other people’s ideas: /,fun,inspiring,rational,,,,
67) Dream: Swimming to the Statue of Liberty - Yeah that was a dream. Wouldn’t that be gross tho? I do like the feeling of grossness and the gentle current of the Hudson and some nasty idea of what the smell or taste of the water could be like. EWWWWWW. So gross yet so full of energy. The shock to the senses would be so enormous. Update 2-19-19 – Wait did I really advocate for this dreaming being pleasurable? It does seem to kind of stick in my brain tho.,fun,inspiring,rational,,,,
68) Dreams – Live Porn - Cant remember this dream. No idea. Maybe like streaming live porn. Maybe like people doing it at like a shitty dive bar. You choose. Either way…who doesn’t like hearing about weird dreams?,fun,inspiring,rational,,,,
"69) Reset Percentage - I love this idea. It’s that we can find a base level. It’s that we can recover. It’s that no matter how shitty life is, there are things we can do to make up for the trauma we endure. It’s that we can feel our stress and feel our bodies trying to battle that stress. The basic idea is that at any given time we feel like we are in that like new feeling to a certain percentage. For example, if you are feeling totally refreshed and at your best you feel 100% reset.",fun,inspiring,rational,,,,
70) Title for this: “42 points of Ideals and Terrors” or “Another 42 Ideas that I Struggle to Make Happen or That I Struggle to Make Not Happen”,fun,inspiring,rational,,,,
71) Experiment with what satisfies - Like 4 example - Haikus – a great way to think -> Regimentally,fun,inspiring,rational,,,,
"72) Check in as Much as you can - Check to see if you are aware of whatever is buzzing in that cute brain of yours. Why? In the brain, you have senses tingling and thoughts firing, which is the real energy of life.",fun,inspiring,rational,,,,
"73) The Joy of Sacrifice - Sacrificing things is really just adding other things, but doesn’t it feel good to stop doing something so you can increase the love you have for someone in such a solid way. Real sacrifice leading to an increase in real love to the degree that it seems to have scientific causality (i.e. science would be like, “yo Adam you gonna love the shit out of dis person if you sacrifice all these things that occupy yo time when you could be putting in that time to increase love, beauty, harmony, positivity, real feelings that make life worthwhile, and end the cycle of bullshit that seems to flow into your life, fo real, this is science talking to you, looking you dead in the eye, straight up, not lying, and you know that, cause I’m fucking science bitch and a female so I can use the term bitch.”",fun,inspiring,rational,,,,
"74) No Phone – Feeling Freer - Not sure…maybe I was in Canada….Maybe I was on a plaaaane…Maybe I was on a silent meditation retreat…maybe I had to poo and couldn’t wait to find my phone…Either way… Sensing freedom is pretty sweet. Being like “damn I’m feeling free as fuck right now that I’ve been blind folded, hands tied, and dropped off naked in the woods WITHOUT A PHONE. OMG NO PHONE! Having no phone in woods is really the thing that makes me feel free, not this new lease on life this psychotic ax murderer has given me by abandoning me here…for real…No phone woOOOOo!”",fun,inspiring,rational,,,,
75) HUMILITY APOLOGIZES - Like be humble say sorry and then shut up for once in your life Adam…GAWD!,fun,inspiring,rational,,,,
"76) Working on Relationships - Like the ASAP Ferg song “Work” saying “puttin in WORK…Dayum she pop that pussy.."", But for real yo…relationships of all types take a bit of work. Whether it’s just checking in and saying hey or if it’s just trying to suck less…sometimes you gotta do stuff you might not want to just to keep a relationship strong.",fun,inspiring,rational,,,,
"77) Root out Negativity - Like Missy Elliot says “Let me search it, put my thing down flip it and reverse it.” To root out negativity you gotta search for it in one way then put your thing down flip it and reverse it to really find that source of negativity and root it out…like really root it out.",fun,inspiring,rational,,,,
"78) Honor Vs. Pity (Neech) Honor vs. Pity. An idea brought up by Nietzsche, which states that pity is more on the end of useless and honor is more on the end of useful because honor comes from respect for someone whereas pity comes from viewing negativity associated with a person. So for me this is a bit of a tough concept to always understand because I imagine examples of the homeless (i.e. if you give someone money is that out of pity always??? I don’t think so because you just see that they have a lot of qualities you respect in them and give them some cash out of hope for that better side winning out, right?)",fun,inspiring,rational,,,,
79) Vanity – Totally fucking you over? Does being a vain ass lil bitty always fuck you over? I’m not even sure? ,fun,inspiring,rational,,,,
80) 2 feel (love) – Draw (Love) – Be Think Speak Touch Breath Eat (Love) - Hoping to feel that thing people tend to view really highly (aka Love)...Then,fun,inspiring,rational,,,,
"81) X, Y Line Graph 4 All Things Like for example on the y line going vertical we got fun and on the x going we got productive. So like I’d probably rank higher in fun than productive whereas like book nerd Marcus is prolly a bit higher in Productivity. Hmmm there other ones too tho. Update 2-19-19 -> All my art is this now. Its taken a big ol hold of my life. I love how it really creates a plan of emotion.",fun,rational,inspiring,,,,
82) Re-Prioritize – Are those Ducks really in a row? Like watch yourself evolve into a youuu that is twice as gooood when you get those ducks rolling straight thruuuuu.,fun,inspiring,rational,,,,
83) Makers of Ideas and Things = Thumbs Up = Lets Hang - Damn I need some more of yall in my friend zone yee makers of ideas and things.,fun,inspiring,rational,,,,
"84) Pick 3: 1) Supportive 2) Fun 3) Smart 4) Kinky = My Ideal Lover Fo real….a lover that has any of those 3 characteristics is ideal. REALLY REALLY Fun Sex is great. Supportive Sex…crying the whole time telling each other you love each other…mmmm…saying words that shatter each other’s worlds as you make love…yessss…..and ya know dirty kinky sex, why not? (this marks a new sheet of ideas that I worked called ""42 points of Ideals and Terrors"")",fun,inspiring,rational,,,,
"85) Art as Life – Art in every aspect of your life Nowadays everything can be art – sinks, tables, music, beds – why not try to focus on making something more artistically beautiful in some sector of your life even if it is just your bedroom ;) When speaking collectively as an artist…collective this view would help reinforce my personal hope that the collective would be as diverse as possible in addition to having very highly skilled artists.  (this marks a new sheet of ideas that I worked called ""Oh hey there…Here’s 42 ideas"" now attempted to be described in great detail months after their original inscription.)",fun,inspiring,rational,,,,
86) Cross Platform challenge Try to excel in a variety of ways in art/life. Especially when they interact so harmoniously!!!,fun,inspiring,rational,,,,
87) Beautiful Goal -> Ugly way to reach it -> GIT DIRTY Well this is to say that sometimes it can be unpleasant to accomplish something worthwhile –REALLY UNPLEASANT – Possibly Immoral,fun,inspiring,rational,,,,
88) Cost/Benefit I.E. the economics idea – but applied to everything. FOMO. And of UPDATE 2-19-19 -1:05 AM  I have no idea why “And of” is there,fun,inspiring,rational,,,,
89) DISCIPLINE -> FEEL IT - That you should really feel the urges suppressed to really feel discipline to really discipline yourself. Does it also mean making yourself feel pain?,fun,inspiring,rational,,,,
90) Collective -> 4 the Kids I want to start an artist collective that aims at helping children (because then we could maybe get some funding),fun,inspiring,rational,,,,
91) Bidness -> 4 the Kids I want to start a business that aims at helping children (because then we could maybe get some press),fun,inspiring,rational,,,,
92) NON PROFIT -> 4 the Kids I want to start a business that aims at helping children (You get it),fun,inspiring,rational,,,,
93) CARE TILL YOU DON’T -> YOU R NATURE ->Roll w/ it It’s Okay to care or not. Just do whatcha into. Go with yo own flow.,fun,inspiring,rational,,,,
94) ART THEM UP -> By Being Basic -> Swim in Generalities -> BUT Bring a Towel -> Let Higher self shine! This just in: BASIC BITCH makes good point. Basic Know Basic. Generalities can be beautiful (I’m thinking of my black Brazilian friend talking about his pride over the accomplishments of American Blacks at like 8 am 24 floors up in Sao Paulo after a night dancing to 50’s music and just his strange use of English while explaining his generally beautiful idea). But the sad reality is that people need to have some sort of cred to show that realness and all these discussions can be taxing on the brain to us uberly (Update 2-19-19 Word doesn’t think this is a word) politically sensitive individuals to the point that our brain oozes out our ears. Ahhh but there is a higher self with in waiting to erupt spewing for lava-like beauty in the form of learning at an accelerated yet stress free pace.,fun,inspiring,rational,,,,
"95) SHINE That’s It. But if you want my like new age view on shining here it is: “Translucent, wisdom glows through you and out of you. Reflective, you bounce light sent directly at you back into nature where it is absorbed nutritionally by others. “",fun,inspiring,rational,,,,
"96) Nihilism -> EXPLORE IT I get the gist of a nihilist, but it’s not so bad really and anyways no one is really such a sociopath that they are really a nihilist. Too bad in a way. Don’t believe me? Explore nihilistic vibes yourself. Update -2-20-19 – we talking bout gists here…so the gist of nihilism to me is that stuff has less inherent meaning than we think. I am this. Nah… you really aren’t you just have cultivated a certain set of habits that you could change. Views that can change. Is there an inherent meaning to anything? Not really even sure we need to explore this concept, but if we look at nihilism as the total rejection of meaning in anything we can see that this sort of concept is kind of dumb. Like words have meaning bro. A priori type logic is real bro. What can we gain from thinking of words as signals to things that exist in some approximate form? Authenticity…warm glowy feelings from grasping onto something solid? So yeah that part 1. Part 2 gists – like maybe it’s the concept that we can get the gist of all things…maybe it’s the opposite of nihilism that there is a reason for why everything happens that is perfectly explainable because the reasons are based on things with meaning. Maybe it’s a relative meaning but fuck dis absolute shit in that its maybe just not really all that discoverable or useful.",fun,inspiring,rational,,,,
